Year,Domestic Debt,External Debt,Total,YoY Growth Rate,Real GDP prices (Ksh Million),Nominal GDP prices (Ksh Million),Domestic Interest,Foreign Interest,Domestic Debt Composition,External Debt Composition,Debt_to_GDP_Ratio,Total Interest Paid,Interest-to-Debt-Ratio,Domestic Interest Composition,Foreign Interest Composition,YoY Interest Growth Rate,YoY Debt Growth Rate,Foreign Interest Share,Domestic Interest Share,Interest_to_GDP_Ratio
2000,192665.3,405355.31,598020.61,,982855,967838,11302,2232,32.21716723,67.78283277,61.78932941,13534,0.022631327,14.23565095,29.95088739,,,16.49179843,83.50820157,1.398374521
2001,221984,384302.58,606286.58,1.382221593,1020111,1020022,11985,4150,36.61370832,63.38629168,59.43857878,16135,0.026612827,13.75791757,23.81794732,19.21826511,1.382221593,25.72048342,74.27951658,1.581828627
2002,259828.23,369729.83,629558.06,3.838363039,1025583,1035374,13533,5634,41.27152784,58.72847216,60.80489369,19167,0.030445167,13.55601972,19.28991652,18.79144716,3.838363039,29.3942714,70.6057286,1.851215116
2003,301190.58,410149,711339.58,12.99030625,1055658,1131783,12701,3382,42.34132171,57.65867829,62.85123385,16083,0.022609455,18.72726357,25.50202077,-16.09015495,12.99030625,21.0284151,78.9715849,1.421032124
2004,295374.44,439992.95,735367.39,3.377825539,1109338,1274328,9777,4121,40.16692119,59.83307881,57.70628833,13898,0.018899397,21.2530177,31.65872428,-13.5857738,3.377825539,29.65174845,70.34825155,1.090614033
2005,335001.89,408601.92,743603.81,1.120041507,1172784,1415823,13761,5824,45.05112608,54.94887392,52.52095848,19585,0.02633795,17.10502374,20.86300332,40.91955677,1.120041507,29.73704366,70.26295634,1.383294381
2006,385121.22,407742.55,792863.77,6.624489996,1249470,1622565,17559,2756,48.57344156,51.42655844,48.8648387,20315,0.025622308,18.95748068,20.07100911,3.727342354,6.624489996,13.5663303,86.4336697,1.252029965
2007,438059.11,406923,844982.11,6.57342938,1336849,1833511,21111,2330,51.84241238,48.15758762,46.08546717,23441,0.027741416,18.68773133,17.35945565,15.3876446,6.57342938,9.939848983,90.06015102,1.278476104
2008,456227.91,516671.33,972899.25,15.13844358,1357262,2107589,21359,2637,46.89364392,53.10635505,46.16171607,23996,0.024664424,19.01266503,21.53156068,2.367646431,15.13844358,10.98933156,89.01066844,1.138552156
2009,588970.31,588970.31,1177940.63,21.07529428,5361462,3275642,31144,3167,49.99999958,49.99999958,35.96060345,34311,0.029127954,17.16564105,17.16564105,42.98633106,21.07529428,9.230276005,90.769724,1.047458788
2010,720207.97,599930.46,1320138.43,12.07172895,5793514,3597630,34214,3634,54.55548855,45.44451145,36.69466927,37848,0.028669721,19.02895714,15.85104788,10.30864737,12.07172895,9.601564151,90.39843585,1.052025917
2011,799880.06,685607.92,1485487.98,12.52516753,6090206,4162514,37749.14,3454.61,53.84628289,46.15371711,35.68727889,41203.75,0.027737518,19.41279762,16.63945442,8.866386599,12.52516753,8.384212602,91.6157874,0.989876551
2012,971265.44,821972.82,1793238.26,20.71711681,6368448,4767191,53622.58,5528.77,54.16265433,45.83734567,37.61624529,59151.35,0.032985773,16.42000462,13.89609569,43.55817128,20.71711681,9.346819641,90.65318036,1.240800924
2013,1189182.59,922369.15,2111551.74,17.75076336,6610312,5311322,60096.26,5019.9,56.31794701,43.68205299,39.75567175,65116.16,0.03083806,18.26248031,14.16498071,10.08397949,17.75076336,7.70914624,92.29085376,1.225987805
2014,1307748.71,1170696.28,2478444.99,17.37552735,6942157,6003835,56110.24,11375.15,52.76488747,47.23511253,41.28103104,67485.39,0.027228924,19.37824928,17.34740334,3.63846701,17.37552735,16.8557224,83.1442776,1.124038052
